nombre_mat,cod_materia,semestre
ACTIVIDAD INTEGRADORA A,1862,1
ACTIVIDAD INTEGRADORA B,1863,1
ADMINISTRACION DE OPERACIONES,1915,1
ADMINISTRACION GENERAL PARA INGENIEROS,1944,1
ADMINISTRACION Y SEGURIDAD DE SISTEMAS,1918,1
AGRIMENSURA LEGAL 1,1910,1
AGRIMENSURA LEGAL 3,1817,1
ALISTAMIENTO NAVAL,2601,1
ANALISIS SEMANTICO DE LENGUAJE NATURAL,1864,1
ANALISIS Y CONTROL DE SIST. NO LINEALES,5913,1
ANTENAS Y PROPAGACION,5817,1
ARQUITECTURA DE COMPUTADORAS,TI05,1
ASPECTOS AVANZ. DE REDES DE COMPUTADORAS,1448,1
AVALUACIONES 3,2023,1
BASES DE DATOS II,TI13,1
BASES DE DATOS NO RELACIONALES,1949,1
BATERIAS RECARGABLES Y CELDAS DE COMBUSTIBLE,Q47,1
CALCULO DIF. E INTEGRAL EN UNA VARIABLE,1061,1
CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES,1062,1
CALCULO VECTORIAL,1063,1
CALIDAD DE AGUAS,1854,1
CAMINOS Y CALLES 1,2231,1
CAPTURA DE DATOS POR PERCEPCION REMOTA,TCI24,1
CARTOGRAFIA MATEMATICA,TCI13,1
CARTOGRAFIA MATEMATICA,1420,1
COMPETENCIAS ROBOTICAS-IEEE SEK,TI45,1
COMPORTAMIENTO MEC. DE MATERIALES,TIM52,1
COMPORTAMIENTO MECANICO DE MATERIALES 1,1764,1
COMPRESION DE DATOS SIN PERDIDA,1352,1
COMPUT.DE PR.GRAL.EN UNID.DE PROC.GRAF.,1447,1
COMPUTACION DE ALTA PERFORMANCE,1434,1
COMUNICACION ORAL Y ESCRITA (ACT.COMPL3),TI15,1
COMUNICACIONES DIGITALES,1462,1
CONTABILIDAD (ACT.COMPL.4),TI14,1
CONTROL DE CALIDAD,TIM61,1
CONTROL NUMERICO COMPUTARIZADO 1,TIM56,1
COSTOS,2240,1
CRIPTOGRAFIA,1545,1
DESARR.DE APLIC.BASAD.EN TECNOL.GENEXUS,TI22,1
DIDACTICA DE ALGORIT.Y ESTRUCT.DE DATOS,1353,1
DINAMICA Y CONTROL DE PROCESOS,Q94,1
DISEÑO ASISTIDO POR COMPUTADOR,TIM55,1
DISEÑO DE PROCESOS QUIMICOS,Q196,1
DISEÑO HIDROLOGICO,2399,1
DISEÑO LOGICO 2,1534,1
EJERCICIOS DE INGENIERIA SANITARIA,2309,1
ELASTICIDAD,2366,1
ELECTRONICA AVANZADA 2,5717,1
ELECTRONICA DE POTENCIA,5609,1
ELECTRONICA FUNDAMENTAL,5715,1
ELECTROTECNICA,5850,1
ELECTROTECNICA I,2108,1
ELEMENTOS DE GESTION LOGISTICA,2244,1
ELEMENTOS DE MAQUINAS,1720,1
ELEMENTOS DE MECANICA DE LOS FLUIDOS,1805,1
ELEMENTOS DE TOPOGRAFIA,2230,1
ENERGIA 1- COMBUSTION,1850,1
ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS,2394,1
ESTIMACION Y PREDICCION EN SERIES TEMPORALES,5849,1
ESTRUCTURAS DE ACERO,2393,1
ESTRUCTURAS DE BUQUES,2600,1
FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS,Q22,1
FISICA EXPERIMENTAL 1,1154,1
FISICA 1,1151,1
FISICA 2,TIM31,1
FISICA 2,1152,1
FISICA 3,1153,1
FISIOLOGÍA CUANTITATIVA,LIB38,1
FUNCIONES DE VARIABLE COMPLEJA,1066,1
FUNDAMENTOS DE INGENIERIA DE SOFTWARE,3334,1
FUNDAMENTOS DE LA ROBOTICA AUTONOMA,1857,1
FUNDAMENTOS DE LA ROBÓTICA AUTÓNOMA,TI42,1
FUNDAMENTOS DE LA WEB SEMANTICA,1942,1
