instituto,nombre,codigo,inscriptos
7,ACTIVIDAD INTEGRADORA A,1862,1
7,ACTIVIDAD INTEGRADORA B,1863,0
Otros,ADMINISTRACIÓN DE INFRAESTRUCTURAS,TI17,5
Otros,ADMINISTRACIÓN DE INFRAESTRUCTURAS II,TI32,14
9,AGRIMENSURA LEGAL 2,1913,10
9,AGRIMENSURA LEGAL 4,2014,9
9,ÁLGEBRA LINEAL NUMÉRICA,5914,17
7,ALGORITMOS DE APROXIMACIÓN,1641,3
7,ALGORITMOS EVOLUTIVOS,1637,64
7,ANÁLISIS Y DISEÑO DE ALGORITMOS DISTRIBUIDOS EN REDES,1440,12
11,APLICACIONES DEL ÁLGEBRA LINEAL,1872,42
7,APRENDIZAJE AUTOMÁTICO,1866,98
4,APRENDIZAJE PROFUNDO PARA VISIÓN ARTIFICIAL,1463,1
7,ARQUITECTURA DE COMPUTADORAS,1443,407
Otros,AUTÓMATAS PROGRAMABLES,TIM74,3
9,AVALUACIONES 1,1614,13
9,AVALUACIONES 2,1618,17
Otros,BASES DE DATOS I,TI09,6
7,BASES DE DATOS PARA INGENIERÍA,1892,44
8,BATERÍAS APLICADAS A LA MOVILIDAD ELÉCTRICA,Q201,1
11,CALCULO DIFERENCIAL E INTEGRAL EN UNA VARIABLE,1061,1169
11,CALCULO DIFERENCIAL E INTEGRAL EN VARIAS VARIABLES,1062,1150
11,CALCULO VECTORIAL,1063,234
7,CALIDAD DE DATOS E INFORMACIÓN,1890,29
3,CAMINOS Y CALLES 2,2232,39
9,CARTOGRAFIÁ TEMÁTICA /ÁREA,1882/A,14
9,CATASTRO,1619,13
4,CIRCUITOS DE RADIOFRECUENCIA,5713,11
7,CÓDIGOS PARA CORRECCIÓN DE ERRORES,2415,18
1,COMERCIALIZACIÓN,1924,0
4,COMPLEMENTO DE TEMAS AVANZADOS EN SISTEMAS INALÁMBRIC,5861,1
1,COMPORTAMIENTO MECÁNICO DE MATERIALES 2,1765,86
7,COMPUTACIÓN GRAFICA AVANZADA,1349,10
7,COMPUTACIÓN 1,1411,313
4,COMUNICACIONES INALÁMBRICAS,5848,5
7,CONSTRUCCIÓN FORMAL DE PROGRAMAS EN TEORÍA DE TIPOS,1347,16
8,CONTROL DE CALIDAD,1510,162
8,CONTROL DE LA CORROSIÓN,Q29,5
Otros,CONTROL NUMÉRICO COMPUTARIZADO 2,TIM57,2
4,CONTROLADORES LÓGICOS PROGRAMABLES,5920,8
Otros,COSTOS PARA INGENIERÍA,TIM60,47
1,COSTOS PARA INGENIERÍA,1922,127
Otros,DESARROLLO DE APLICACIONES BASADAS EN TECNOLOGÍAS GENE,TI22,6
Otros,DESARROLLO DE SITIOS WEB CON PHP,TI23,15
1,DINÁMICA DE MAQUINAS Y VIBRACIÓN,1718,5
8,DINÁMICA Y CONTROL DE PROCESOS,Q94,35
4,DISEÑO DE CIRCUITOS INTEGRADOS,5708,9
2,DISEÑO DE REDES DE CONDUCCIÓN EN INGENIERÍA SANITARIA,1852,5
4,DISEÑO DE SISTEMAS MÉDICOS IMPLANTABLES ACTIVOS,5724,20
4,DISEÑO LÓGICO,1512,109
12,DISEÑO Y MONTAJE DE LAS INDUSTRIAS DE PROCESOS,1219,7
12,ECONOMÍA/ÁREA,1224/A,924
10,ELECTROMAGNETISMO,1128,122
4,ELECTRÓNICA AVANZADA 1,5716,32
4,ELECTROTECNICA II,2109,75
2,ELEMENTOS DE INGENIERÍA AMBIENTAL,2256,128
Otros,ELEMENTOS DE MAQUINAS,TIM53,9
9,ELEMENTOS DE TOPOGRAFÍA,2230,19
4,ENSAYOS ELÉCTRICOS Y EQUIPOS DE MEDIA TENSIÓN,5519,3
Otros,ENSAYOS NO DESTRUCTIVOS,TIM59,3
8,ENVASES POLIMERICOS PARA LA INDUSTRIA ALIMENTICIA,Q106,6
2,ESTADÍSTICA APLICADA EN INGENIERÍA HIDRÁULICA Y AMBIENTAL,2387,0
Otros,ESTRUCTURAS DE DATOS Y ALGORITMOS,TI06,2
3,ESTRUCTURAS DE MADERA,2384,35
Otros,ESTUDIO DEL TRABAJO,TIM63,7
1,EVALUACIÓN ECONÓMICA Y FINANCIERA DE PROYECTOS DE INVER,2039,30
10,FÍSICA EXPERIMENTAL 2,1155,116
10,FÍSICA TÉRMICA,1123,151
Otros,FÍSICA 1,TIM30,48
10,FÍSICA 1,1151,897
10,FÍSICA 2,1152,323
10,FÍSICA 3,1153,336
8,FLUIDODINAMICA,Q66,139
9,FOTOGRAMETRIA,1858,21
4,FUNDAMENTOS DE APRENDIZAJE AUTOMÁTICO Y RECONOCIMIENT,5852,54
7,FUNDAMENTOS DE BASES DE DATOS,1911,196
Otros,GENERADORES DE VAPOR,TIM44,5
1,GENERADORES DE VAPOR,1815B,38
9,GEODESIA 2,1422,15
3,GEOLOGÍA DE INGENIERÍA,2206,60
11,GEOMETRÍA Y ÁLGEBRA LINEAL 1,1030,1167
11,GEOMETRÍA Y ÁLGEBRA LINEAL 1 INTERACTIVA,GAL1P,103
11,GEOMETRÍA Y ÁLGEBRA LINEAL 2,1031,1148
2,GESTIÓN DE CALIDAD AMBIENTAL,1855,6
Otros,GESTIÓN DEL MANTENIMIENTO,TIM62,25
8,HIDRÓGENO VERDE: PRODUCCIÓN Y USOS,Q202,4
2,HIDROLOGÍA E HIDRÁULICA APLICADAS,1833,53
8,HIGIENE Y SERVICIOS DE PLANTAS PROCESOS DE ALIMENTOS,A65 H,9
3,HORMIGÓN ESTRUCTURAL 2,2395,55
8,INGENIERÍA AMBIENTAL PARA LA INDUSTRIA DE PROCESOS,Q101,5
4,INGENIERÍA BIOMEDICA,5710,7
4,INGENIERÍA CLÍNICA,5718,1
8,INGENIERÍA DE LAS REACCIONES QUÍMICAS 2,Q70,71
7,INGENIERÍA DE ONTOLOGÍAS,2418,22
Otros,INGENIERÍA DE SOFTWARE,TI18,7
7,INGENIERÍA DE SOFTWARE BASADA EN EVIDENCIAS,2417,19
Otros,INGLES CONVERSACIONAL (ACT.COMPL.2),TI10,5
Otros,INGLES TÉCNICO,TIM81,26
7,INICIACIÓN A LA PRODUCCIÓN AUDIOVISUAL Y MULTIMEDIA,2040,43
23,INICIACIÓN AL ENTORNO DE PROGRAMACIÓN R PARA INGENIERÍA (I,1268,14
Otros,INSTALACIONES ELÉCTRICAS,TIM73,7
4,INSTALACIONES ELÉCTRICAS,5507,115
7,INTRODUCCIÓN A BASES DE DATOS,2413,53
Otros,INTRODUCCIÓN A LA CIENCIA DE LOS MATERIALES,TIM50,39
3,INTRODUCCIÓN A LA CONSTRUCCIÓN,1715B,36
3,INTRODUCCIÓN A LA CORROSIÓN DEL HORMIGÓN ARMADO,2375,1
Otros,INTRODUCCIÓN A LA ELECTROTECNIA,TIM70,38
9,INTRODUCCIÓN A LA EVALUACIÓN DE LA CALIDAD DE LA INFORMAC,TCI25,5
8,INTRODUCCIÓN A LA INGENIERÍA BIOQUÍMICA,Q77C,98
8,INTRODUCCIÓN A LA INGENIERÍA DE ALIMENTOS,Q49,54
8,INTRODUCCIÓN A LA INGENIERÍA DE PROCESOS,Q59B,178
1,INTRODUCCIÓN A LA INGENIERÍA DE PRODUCCIÓN,2416,62
8,INTRODUCCIÓN A LA INGENIERÍA QUÍMICA,Q102,121
2,INTRODUCCIÓN A LA INGENIERÍA SANITARIA,2315,34
Otros,INTRODUCCIÓN A LA MECÁNICA DE LOS FLUIDOS,TIM40,44
Otros,INTRODUCCIÓN A LA TERMODINÁMICA,TIM32,35
11,INTRODUCCIÓN A LAS ECUACIONES DIFERENCIALES,1064,353
7,INTRODUCCIÓN A LOS SISTEMAS DE INFORMACIÓN GEOGRÁFICA,1926,15
7,INTRODUCCIÓN AL NEGOCIO DEL SOFTWARE,1543,57
3,INTRODUCCIÓN AL TRANSPORTE,2510,74
7,INTEGRACIÓN DE DATOS,1941,76
7,INVESTIGACIÓN DE OPERACIONES Y GESTIÓN DE RIESGOS,1779,65
2,LABORATORIO DE CALIDAD DE AGUAS,2213,2
3,LABORATORIO DE MECÁNICA DE SUELOS,2218,15
10,LABORATORIO DE MEDIDAS FÍSICAS,5862,13
3,LABORATORIO DE RESISTENCIA DE MATERIALES,2379,20
3,LABORATORIO DE TECNOLOGÍA DEL HORMIGÓN,2321,11
10,LABORATORIO 3,1140,6
3,MAMPOSTERÍA ESTRUCTURAL,2356,14
1,MANTENIMIENTO DE BUQUES,2605,0
1,MAQUINARIA NAVAL,2603,3
4,MAQUINAS ELÉCTRICAS,5602,20
2,MAQUINAS PARA FLUIDOS II,1859,4
Otros,MATEMÁTICA DISCRETA Y LÓGICA 2,TI07,2
11,MATEMÁTICA DISCRETA 1,1023,899
11,MATEMÁTICA DISCRETA 2,1026,561
11,MATEMÁTICA INICIAL,MI2,204
Otros,MATEMÁTICA 1,TIM20,37
Otros,MATEMÁTICA 2,TIM21,41
5,MATERIALES COMPUESTOS,1727,3
1,MECÁNICA APLICADA (ING.QUÍM),Q73,102
2,MECÁNICA DE LOS FLUIDOS,1226,31
10,MECÁNICA NEWTONIANA,1122,176
4,MEDIDAS ELÉCTRICAS EN INGENIERÍA DE PROCESOS,Q198,3
3,MÉTODOS COMPUTACIONALES APLICADOS AL CÁLCULO ESTRUCTU,2380,27
Otros,METALURGIA FÍSICA,TIM51,34
5,METALURGIA FÍSICA,1719,54
11,MÉTODOS NUMÉRICOS,1033,629
1,MODELADO DE SISTEMAS MECÁNICOS EMPLEANDO EL MÉTODO DE,1873,1
7,MODELADO Y OPTIMIZACIÓN,1624,40
11,MODELOS ESTADÍSTICOS PARA CLASIFICACIÓN Y REGRESIÓN,1868,62
2,MODULO DE ACÚSTICA,1139,1
3,MODULO DE EXTENSIÓN,1201,10
4,MODULO DE EXTENSIÓN 4,1209,1
8,MÓDULO DE PRÁCTICAS EN INGENIERÍA DE PROCESOS QUÍMICOS Y,Q13,1
1,MÓDULO DE TALLER -INGENIERÍA MECÁNICA,2030,18
4,MÓDULO DE TALLER 2,2020,1
4,MÓDULO DE TALLER 3,2021,6
4,MONOGRAFÍA EN MEDIDAS ELÉCTRICAS,1413,0
2,MORFODINAMICA DE SISTEMAS FLUVIALES Y COSTEROS,1874,4
1,MOTORES DE COMBUSTIÓN INTERNA Y TURBINAS DE GAS,TIM43,5
4,MULTIMEDIA SOBRE IP,1557,2
2,OBRAS HIDRÁULICAS,2396,12
7,OPTIMIZACIÓN CONTINUA Y APLICACIONES,1640,4
7,OPTIMIZACIÓN DE PROBLEMAS DE PRODUCCIÓN,2037,43
9,ORDENAMIENTO TERRITORIAL 1,2388,21
Otros,PASANTÍA,18887,1
4,PASANTÍA,2060,10
7,PASANTÍA,1731,57
Otros,PASANTÍA,TIM80,3
1,PASANTÍA,2002,33
1,PASANTÍA,2098,12
8,PASANTÍA-TRABAJO EXPERIMENTAL MOD.1 BASICO,Q82 P,22
8,PASANTÍA-TRABAJO EXPERIMENTAL MOD.2,Q83 P,0
8,PASANTÍA-TRABAJO EXPERIMENTAL MOD.3,Q84 P,0
8,PASANTÍA-TRABAJO PRACTICO DE GRADO,A88 P,14
9,PASANTÍA (AGRIMENSURA),2112,12
2,PASANTÍA (CIVIL-IMFIA,2450,5
3,PASANTÍA (CIVIL-IET),2450,26
Otros,PASANTÍA LABORAL,TI21,13
1,PLANEAMIENTO ESTRATÉGICO Y ESTRATEGIA COMPETITIVA,2391,14
12,POLÍTICAS CIENTÍFICAS EN INFORMACIÓN Y COMPUTACIÓN,1225,77
2,POTABILIZACIÓN DE AGUAS,1853,10
12,PRACTICA DE ADMINISTRACIÓN PARA INGENIEROS,1945,124
Otros,PROBABILIDAD Y ESTADÍSTICA,TI19,39
11,PROBABILIDAD Y ESTADÍSTICA,1025,281
3,PROCEDIMIENTOS DE CONSTRUCCIÓN PARA OBRAS VIALES Y SUEL,2352,50
