nombrep,codigogrupop,nombreh,codigogrupoh,nombre_mat,codigo_materia,codenservicio_mat,tipo_mat,creditos_mat
MATERIAS BASICAS,2436,MATEMATICA,4083,ALGEBRA LINEAL,18811,1021,G,18
MATERIAS BASICAS,2436,MATEMATICA,4083,ALGEBRA LINEAL I,24392,SRN03,G,12
MATERIAS BASICAS,2436,MATEMATICA,4083,ALGEBRA LINEAL II,24408,SRN10,G,12
MATERIAS BASICAS,2436,MATEMATICA,4083,ANALISIS COMPLEJO,21315,CP7,G,10
MATERIAS BASICAS,2436,MATEMATICA,4083,ANALISIS MATEMATICO I,21309,CP1,G,33
MATERIAS BASICAS,2436,MATEMATICA,4083,ANALISIS MATEMATICO I (1ER.SEM.),18632,CP44,G,17
MATERIAS BASICAS,2436,MATEMATICA,4083,ANALISIS MATEMATICO I (2DO.SEM.),18631,CP45,G,16
MATERIAS BASICAS,2436,MATEMATICA,4083,ANALISIS MATEMATICO II,21314,CP6,G,33
MATERIAS BASICAS,2436,MATEMATICA,4083,ANALISIS MATEMATICO II (1ER.SEM.),18636,CP48,G,16
MATERIAS BASICAS,2436,MATEMATICA,4083,ANALISIS MATEMATICO II (2DO.SEM.),18635,CP49,G,17
MATERIAS BASICAS,2436,MATEMATICA,4083,ANALISIS MATEMATICO II (P. 74),18608,CP25,G,33
MATERIAS BASICAS,2436,MATEMATICA,4083,ANALISIS MATEMATICO I (P. 74),18615,CP22,G,33
MATERIAS BASICAS,2436,MATEMATICA,4083,CALCULO 1,18856,1070,G,16
MATERIAS BASICAS,2436,MATEMATICA,4083,CALCULO 1,18812,1020,G,16
MATERIAS BASICAS,2436,MATEMATICA,4083,CALCULO 1 (ANUAL),18849,1052,G,16
MATERIAS BASICAS,2436,MATEMATICA,4083,CALCULO 2,18808,1022,G,16
MATERIAS BASICAS,2436,MATEMATICA,4083,CALCULO 2,18855,1072,G,16
MATERIAS BASICAS,2436,MATEMATICA,4083,CÁLCULO 2,43445,CAL2,G,10
MATERIAS BASICAS,2436,MATEMATICA,4083,CALCULO 3,18858,1076,G,10
MATERIAS BASICAS,2436,MATEMATICA,4083,CALCULO 3,18810,1024,G,10
