cod_materia,codenservicio_mat,nombre_mat
20484,1944,ADMINISTRACION GENERAL PARA INGENIEROS
20455,1918,ADMINISTRACION Y SEGURIDAD DE SISTEMAS
24392,SRN03,ALGEBRA LINEAL I
24408,SRN10,ALGEBRA LINEAL II
20740,5914,ALGEBRA LINEAL NUMERICA
52708,1637,ALGORITMOS EVOLUTIVOS
20796,1628,ALGORITMOS EVOLUTIVOS
42484,1634,ANALISIS DE DATOS EN REDES COMPLEJAS
42482,1864,ANALISIS SEMANTICO DE LENGUAJE NATURAL
18415,1440,ANALISIS Y DISEÑO DE ALGORIT.DISTRIB.EN REDES
66042,1872,APLICACIONES DEL ALGEBRA LINEAL
18411,1438,APLICACIONES DE TEORIA DE LA INFORMACION AL PROC. DE IMAG.
50501,1866,APRENDIZAJE AUTOMATICO
18414,1443,ARQUITECTURA DE COMPUTADORAS
79424,1466,ARQUITECTURA DE COMPUTADORAS
18420,1424,ARQUITECTURA DE COMPUTADORES 1
18419,1425,ARQUITECTURA DE COMPUTADORES 2
20671,1743,ARQUITECTURA DE SOFTWARE
18430,1444,ASPECTOS AVANZ. DE ARQ.DE COMPUTADORAS
18428,1448,ASPECTOS AVANZ. DE REDES DE COMPUTADORAS
37735,1454,ASPECTOS BASICOS DE REDES DE COMPUT
42480,1949,BASES DE DATOS NO RELACIONALES
65436,736EU,BIONFORMÁTICA
65438,836EU,BIONFORMÁTICA ESTRUCTURAL
20526,1849,BUTIA: ROBOTICA EDUCATIVA
18812,1020,CALCULO 1
18849,1052,CALCULO 1 (ANUAL)
18808,1022,CALCULO 2
18810,1024,CALCULO 3
47537,1061,CALCULO DIF. E INTEGRAL EN UNA VARIABLE
49465,1062,CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES
24391,SRN02,CÁLCULO I
24398,SRN09,CÁLCULO II
52226,1063,CALCULO VECTORIAL
24892,CIM10,CÁLCULO VECTORIAL
20471,1935,CALIDAD DE DATOS
47532,1802,CALIDAD DE DATOS E INFORMACION
