"cod_materia","codenservicio_mat","nombre_mat","tipo_descriptor","cod_condicion","cod_condicion_padre","tipo","cantmaterias","cod_plan","cantcreditos","cod_grupo","nombre_grupo","cod_elemento","tipo_instancia","nombre_mat-2","codenservicio_mat-2"
"20484","1944","ADMINISTRACION GENERAL PARA INGENIEROS","C","545373","545374","B","1","","","","","1577","C","ANTEPROYECTO III LATCHINIAN","310LA"
"20484","1944","ADMINISTRACION GENERAL PARA INGENIEROS","C","545373","545374","B","1","","","","","22113","C","TROMPETA 5","TROP5"
"20484","1944","ADMINISTRACION GENERAL PARA INGENIEROS","C","545373","545374","B","1","","","","","20859","C","MONOGRAFIA COMPETENCIA NOTORIA","51MCN"
"20484","1944","ADMINISTRACION GENERAL PARA INGENIEROS","C","545373","545374","B","1","","","","","20476","C","PSICOLOGIA MEDICA","674"
"20484","1944","ADMINISTRACION GENERAL PARA INGENIEROS","C","545374","545376","NOT","","","","","","","","",""
"20484","1944","ADMINISTRACION GENERAL PARA INGENIEROS","C","545375","545376","R","","365","140","","","","","",""
"20484","1944","ADMINISTRACION GENERAL PARA INGENIEROS","E","545377","545378","B","1","","","","","33303","E","INT. A LA ADMINISTRACION PARA INGENIEROS","1519"
"20484","1944","ADMINISTRACION GENERAL PARA INGENIEROS","E","545377","545378","B","1","","","","","32741","E","ADMINISTRACION DE EMPRESAS","2241"
"20484","1944","ADMINISTRACION GENERAL PARA INGENIEROS","E","545377","545378","B","1","","","","","33110","E","ORGANIZACIONES PARA INGENIEROS","1930"
"20484","1944","ADMINISTRACION GENERAL PARA INGENIEROS","E","545378","545380","NOT","","","","","","","","",""
"20484","1944","ADMINISTRACION GENERAL PARA INGENIEROS","E","545379","545380","R","","365","140","","","","","",""
"20484","1944","ADMINISTRACION GENERAL PARA INGENIEROS","E","545380","","AND","","","","","","","","",""
"20484","1944","ADMINISTRACION GENERAL PARA INGENIEROS","C","545376","","AND","","","","","","","","",""
"20455","1918","ADMINISTRACION Y SEGURIDAD DE SISTEMAS","C","224285","224286","B","1","","","","","63833","E","COMPL.ARQUITECTURA DE COMPUTADORAS","1453"
"20455","1918","ADMINISTRACION Y SEGURIDAD DE SISTEMAS","C","224285","224286","B","1","","","","","6161","C","TALLER DE ARQUITECTURA DE COMPUTADORAS","1445"
"20455","1918","ADMINISTRACION Y SEGURIDAD DE SISTEMAS","C","224285","224286","B","1","","","","","6160","C","ASPECTOS AVANZ. DE ARQ.DE COMPUTADORAS","1444"
"20455","1918","ADMINISTRACION Y SEGURIDAD DE SISTEMAS","C","224284","224286","M","","","","","","","","",""
"20455","1918","ADMINISTRACION Y SEGURIDAD DE SISTEMAS","C","224285","224286","B","1","","","","","33401","E","ARQUITECTURA DE COMPUTADORES 2","1425"
"20455","1918","ADMINISTRACION Y SEGURIDAD DE SISTEMAS","C","224288","224289","M","","","","","","","","",""
"20455","1918","ADMINISTRACION Y SEGURIDAD DE SISTEMAS","C","224287","224289","M","","","","","","","","",""
"20455","1918","ADMINISTRACION Y SEGURIDAD DE SISTEMAS","C","224286","224289","AND","","","","","","","","",""
"20455","1918","ADMINISTRACION Y SEGURIDAD DE SISTEMAS","C","224280","224290","B","1","","","","","4314","C","SISTEMAS OPERATIVOS","1511"
"20455","1918","ADMINISTRACION Y SEGURIDAD DE SISTEMAS","C","224279","224290","D","","","10","4066","GESTION EN ORGANIZACIONES","","","",""
"20455","1918","ADMINISTRACION Y SEGURIDAD DE SISTEMAS","C","224282","224290","B","1","","","","","4596","C","TALLER IV (ANUAL)","C402"
"20455","1918","ADMINISTRACION Y SEGURIDAD DE SISTEMAS","C","224282","224290","B","1","","","","","4527","C","INT. A LA INGENIERIA DE SOFTWARE","1716"
"20455","1918","ADMINISTRACION Y SEGURIDAD DE SISTEMAS","C","224281","224290","B","1","","","","","34086","E","CREDITOS ASIGNADOS POR REVALIDA","BD10"
"20455","1918","ADMINISTRACION Y SEGURIDAD DE SISTEMAS","C","224281","224290","B","1","","","","","33099","E","BASES DE DATOS","CP362"
"20455","1918","ADMINISTRACION Y SEGURIDAD DE SISTEMAS","C","224281","224290","B","1","","","","","4471","C","FUNDAMENTOS DE BASES DE DATOS","1911"
"20455","1918","ADMINISTRACION Y SEGURIDAD DE SISTEMAS","C","224280","224290","B","1","","","","","57870","C","SISTEMAS OPERATIVOS","1532"
"20455","1918","ADMINISTRACION Y SEGURIDAD DE SISTEMAS","C","224289","224290","OR","","","","","","","","",""
"20455","1918","ADMINISTRACION Y SEGURIDAD DE SISTEMAS","C","224283","224290","B","1","","","","","33100","E","COMUNICACION DE DATOS","CP364"
