"nombrep","codigogrupop","nombreh","codigogrupoh","nombre_mat","codigo_materia","codenservicio_mat"
"MATERIAS BASICAS","2436","MATEMATICA","4083","ALGEBRA LINEAL","18811","1021"
"MATERIAS BASICAS","2436","MATEMATICA","4083","ALGEBRA LINEAL I","24392","SRN03"
"MATERIAS BASICAS","2436","MATEMATICA","4083","ALGEBRA LINEAL II","24408","SRN10"
"MATERIAS BASICAS","2436","MATEMATICA","4083","ANALISIS COMPLEJO","21315","CP7"
"MATERIAS BASICAS","2436","MATEMATICA","4083","ANALISIS MATEMATICO I","21309","CP1"
"MATERIAS BASICAS","2436","MATEMATICA","4083","ANALISIS MATEMATICO I (1ER.SEM.)","18632","CP44"
"MATERIAS BASICAS","2436","MATEMATICA","4083","ANALISIS MATEMATICO I (2DO.SEM.)","18631","CP45"
"MATERIAS BASICAS","2436","MATEMATICA","4083","ANALISIS MATEMATICO II","21314","CP6"
"MATERIAS BASICAS","2436","MATEMATICA","4083","ANALISIS MATEMATICO II (1ER.SEM.)","18636","CP48"
"MATERIAS BASICAS","2436","MATEMATICA","4083","ANALISIS MATEMATICO II (2DO.SEM.)","18635","CP49"
"MATERIAS BASICAS","2436","MATEMATICA","4083","ANALISIS MATEMATICO II (P. 74)","18608","CP25"
"MATERIAS BASICAS","2436","MATEMATICA","4083","ANALISIS MATEMATICO I (P. 74)","18615","CP22"
"MATERIAS BASICAS","2436","MATEMATICA","4083","CALCULO 1","18856","1070"
"MATERIAS BASICAS","2436","MATEMATICA","4083","CALCULO 1","18812","1020"
"MATERIAS BASICAS","2436","MATEMATICA","4083","CALCULO 1 (ANUAL)","18849","1052"
"MATERIAS BASICAS","2436","MATEMATICA","4083","CALCULO 2","18808","1022"
"MATERIAS BASICAS","2436","MATEMATICA","4083","CALCULO 2","18855","1072"
"MATERIAS BASICAS","2436","MATEMATICA","4083","CALCULO 3","18810","1024"
"MATERIAS BASICAS","2436","MATEMATICA","4083","CALCULO 3","18858","1076"
"MATERIAS BASICAS","2436","MATEMATICA","4083","CALCULO DIF. E INTEGRAL EN UNA VARIABLE","47537","1061"
"MATERIAS BASICAS","2436","MATEMATICA","4083","CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES","49465","1062"
"MATERIAS BASICAS","2436","MATEMATICA","4083","CÁLCULO I","24391","SRN02"
"MATERIAS BASICAS","2436","MATEMATICA","4083","CÁLCULO II","24398","SRN09"
"MATERIAS BASICAS","2436","MATEMATICA","4083","CALCULO VECTORIAL","52226","1063"
"MATERIAS BASICAS","2436","MATEMATICA","4083","CÁLCULO VECTORIAL","24892","CIM10"
"MATERIAS BASICAS","2436","MATEMATICA","4083","CODIGOS PARA CORRECCION DE ERRORES","62424","2415"
"MATERIAS BASICAS","2436","MATEMATICA","4083","COMBINATORIA ANALITICA","18794","1012"
"MATERIAS BASICAS","2436","MATEMATICA","4083","CREDITOS ASIGNADOS POR REVALIDA","21507","MA29"
"MATERIAS BASICAS","2436","MATEMATICA","4083","CREDITOS ASIGNADOS POR REVALIDA","21688","MA5"
"MATERIAS BASICAS","2436","MATEMATICA","4083","CREDITOS ASIGNADOS POR REVALIDA","21732","MEC"
"MATERIAS BASICAS","2436","MATEMATICA","4083","CREDITOS ASIGNADOS POR REVALIDA","21267","M9"
"MATERIAS BASICAS","2436","MATEMATICA","4083","CREDITOS ASIGNADOS POR REVALIDA","38088","M09"
"MATERIAS BASICAS","2436","MATEMATICA","4083","CREDITOS ASIGNADOS POR REVALIDA","44178","M5"
"MATERIAS BASICAS","2436","MATEMATICA","4083","CREDITOS ASIGNADOS POR REVALIDA","38091","MA015"
"MATERIAS BASICAS","2436","MATEMATICA","4083","CREDITOS ASIGNADOS POR REVALIDA","36557","MA48"
"MATERIAS BASICAS","2436","MATEMATICA","4083","CREDITOS ASIGNADOS POR REVALIDA","36560","MA11"
"MATERIAS BASICAS","2436","MATEMATICA","4083","CREDITOS ASIGNADOS POR REVALIDA","36558","MA020"
"MATERIAS BASICAS","2436","MATEMATICA","4083","CREDITOS ASIGNADOS POR REVALIDA","21626","CAL12"
"MATERIAS BASICAS","2436","MATEMATICA","4083","CREDITOS ASIGNADOS POR REVALIDA","21627","CAL10"
"MATERIAS BASICAS","2436","MATEMATICA","4083","CREDITOS ASIGNADOS POR REVALIDA","21705","M24"
"MATERIAS BASICAS","2436","MATEMATICA","4083","CREDITOS ASIGNADOS POR REVALIDA","21702","M12"
"MATERIAS BASICAS","2436","MATEMATICA","4083","CREDITOS ASIGNADOS POR REVALIDA","21271","M1"
"MATERIAS BASICAS","2436","MATEMATICA","4083","CREDITOS ASIGNADOS POR REVALIDA","21695","MC3"
"MATERIAS BASICAS","2436","MATEMATICA","4083","CREDITOS ASIGNADOS POR REVALIDA","21745","MC13"
"MATERIAS BASICAS","2436","MATEMATICA","4083","CREDITOS ASIGNADOS POR REVALIDA","21698","MA9"
"MATERIAS BASICAS","2436","MATEMATICA","4083","CREDITOS ASIGNADOS POR REVALIDA","21334","GAL7"
"MATERIAS BASICAS","2436","MATEMATICA","4083","CREDITOS ASIGNADOS POR REVALIDA","21744","MAT10"
"MATERIAS BASICAS","2436","MATEMATICA","4083","CREDITOS ASIGNADOS POR REVALIDA","21727","MAT33"
"MATERIAS BASICAS","2436","MATEMATICA","4083","CREDITOS ASIGNADOS POR REVALIDA","21561","MAT6"
"MATERIAS BASICAS","2436","MATEMATICA","4083","CREDITOS ASIGNADOS POR REVALIDA","21562","MAT8"
"MATERIAS BASICAS","2436","MATEMATICA","4083","CREDITOS ASIGNADOS POR REVALIDA","21514","MA10"
"MATERIAS BASICAS","2436","MATEMATICA","4083","CREDITOS ASIGNADOS POR REVALIDA","21511","MA15"
"MATERIAS BASICAS","2436","MATEMATICA","4083","CREDITOS ASIGNADOS POR REVALIDA","21512","MA16"
"MATERIAS BASICAS","2436","MATEMATICA","4083","CREDITOS ASIGNADOS POR REVALIDA","21510","MA20"
"MATERIAS BASICAS","2436","MATEMATICA","4083","CREDITOS ASIGNADOS POR REVALIDA","21509","MA24"
"MATERIAS BASICAS","2436","MATEMATICA","4083","CREDITOS ASIGNADOS POR REVALIDA","21508","MA25"
"MATERIAS BASICAS","2436","MATEMATICA","4083","CREDITOS ASIGNADOS POR REVALIDA","21690","MA3"
"MATERIAS BASICAS","2436","MATEMATICA","4083","CREDITOS NO ACUM PROBABILIDAD Y ESTADISTICA","66867","1025T"
"MATERIAS BASICAS","2436","MATEMATICA","4083","CRIPTOGRAFIA:ASPECTOS TEOR. Y PRACTICOS","18853","1059"
"MATERIAS BASICAS","2436","MATEMATICA","4083","ECUACIONES DIFERENCIALES","18820","1028"
"MATERIAS BASICAS","2436","MATEMATICA","4083","ECUACIONES DIFERENCIALES","24889","CIM24"
"MATERIAS BASICAS","2436","MATEMATICA","4083","ECUACIONES DIFERENCIALES","18860","1074"
"MATERIAS BASICAS","2436","MATEMATICA","4083","ESTADISTICA ESPACIAL","43655","GP5"
"MATERIAS BASICAS","2436","MATEMATICA","4083","FUNCIONES DE VARIABLE COMPLEJA","55775","1066"
"MATERIAS BASICAS","2436","MATEMATICA","4083","GEOMETRIA Y ALGEBRA LINEAL","21310","CP2"
"MATERIAS BASICAS","2436","MATEMATICA","4083","GEOMETRIA Y ALGEBRA LINEAL 1","18854","1071"
"MATERIAS BASICAS","2436","MATEMATICA","4083","GEOMETRIA Y ALGEBRA LINEAL 1","18815","1030"
"MATERIAS BASICAS","2436","MATEMATICA","4083","GEOMETRIA Y ALGEBRA LINEAL 1 (ANUAL)","18846","1053"
"MATERIAS BASICAS","2436","MATEMATICA","4083","GEOMETRIA Y ALGEBRA LINEAL (1ER.SEM.)","18634","CP46"
"MATERIAS BASICAS","2436","MATEMATICA","4083","GEOMETRIA Y ALGEBRA LINEAL 1 INTERACTIVA","74520","GAL1P"
"MATERIAS BASICAS","2436","MATEMATICA","4083","GEOMETRIA Y ALGEBRA LINEAL 2","18843","1058"
"MATERIAS BASICAS","2436","MATEMATICA","4083","GEOMETRIA Y ALGEBRA LINEAL 2","18814","1031"
"MATERIAS BASICAS","2436","MATEMATICA","4083","GEOMETRIA Y ALGEBRA LINEAL (2DO.SEM.)","18633","CP47"
"MATERIAS BASICAS","2436","MATEMATICA","4083","GEOMETRIA Y ALGEBRA LINEAL (P. 74)","18614","CP23"
"MATERIAS BASICAS","2436","MATEMATICA","4083","INFERENCIA II  (ESTADISTICA BAYESIANA)","18850","1049"
"MATERIAS BASICAS","2436","MATEMATICA","4083","INT. A LAS ECUACIONES DIFERENCIALES","52227","1064"
"MATERIAS BASICAS","2436","MATEMATICA","4083","INT. A LA TEORIA DE LA INFORMACION","18436","1450"
"MATERIAS BASICAS","2436","MATEMATICA","4083","INT. A LA TOPOLOGIA","21480","C461"
"MATERIAS BASICAS","2436","MATEMATICA","4083","LOGICA","18823","1027"
"MATERIAS BASICAS","2436","MATEMATICA","4083","LOGICA","21312","CP4"
"MATERIAS BASICAS","2436","MATEMATICA","4083","LOGICA MODALIDAD AL REVES","45920","1013"
"MATERIAS BASICAS","2436","MATEMATICA","4083","LOGICA Y COMPUTACION","18797","1010"
"MATERIAS BASICAS","2436","MATEMATICA","4083","MATEMATICA DISCRETA 1","18807","1023"
"MATERIAS BASICAS","2436","MATEMATICA","4083","MATEMATICA DISCRETA 2","18822","1026"
"MATERIAS BASICAS","2436","MATEMATICA","4083","MATEMÁTICA DISCRETA 2- CIM-CIOCT","24891","CIM11"
"MATERIAS BASICAS","2436","MATEMATICA","4083","MATEMÁTICA DISCRETA I","24415","SRN14"
"MATERIAS BASICAS","2436","MATEMATICA","4083","MATEMATICA INICIAL","57687","MI2"
"MATERIAS BASICAS","2436","MATEMATICA","4083","MATEMATICA INICIAL-OPTATIVA","61481","SRN45"
"MATERIAS BASICAS","2436","MATEMATICA","4083","PROBABILIDAD Y ESTADISTICA","18857","1075"
"MATERIAS BASICAS","2436","MATEMATICA","4083","PROBABILIDAD Y ESTADISTICA","18809","1025"
"MATERIAS BASICAS","2436","MATEMATICA","4083","PROBABILIDAD Y ESTADÍSTICA","23998","CH201"
"MATERIAS BASICAS","2436","MATEMATICA","4083","TEMAS AVANZADOS EN CÓDIGOS PARA CORRECCIÓN DE ERRORES","77568","1899"
"MATERIAS BASICAS","2436","MATEMATICA","4083","TEORIA ALGEBRAICA DE GRAFOS","18826","1043"
"MATERIAS BASICAS","2436","MATEMATICA","4083","TEORIA DE COD. ALGEB. PARA CORR. DE ERRORES","52932","1065"
"MATERIAS BASICAS","2436","MATEMATICA","4083","TEORIA DE COD. ALGEB. PARA CORR. DE ERRORES","18827","1042"
"MATERIAS BASICAS","2436","MATEMATICA","4083","TEORIA DE CODIGOS","18831","1046"
"MATERIAS BASICAS","2436","MATEMATICA","4083","TEORIA DE CODIGOS AVANZADO","18795","1011"
"MATERIAS BASICAS","2436","MATEMATICA","4083","TEORÍA DE JUEGOS","14207","D87"
"MATERIAS BASICAS","2436","MATEMATICA","4083","TEORIA DE JUEGOS Y PROG. FUNCIONAL","18818","1034"
"MATERIAS BASICAS","2436","MATEMATICA","4083","TEORIA DE JUEGOS Y PROG. FUNCIONAL","18833","1037"
"MATERIAS BASICAS","2436","MATEMATICA","4083","TOPOLOGÍA","24887","CIM22"
"MATERIAS BASICAS","2436","MATEMATICA","4083","TOPOLOGIA Y ANALISIS REAL","71545","1886"
"MATERIAS BASICAS","2436","MATEMATICA","4083","TUTORIA EN MATEMATICA","18559","1233"
"MATERIAS BASICAS","2436","CIENCIAS EXPERIMENTALES","4442","BIOQUÍMICA 1 (2020-","63384","MHC16"
"MATERIAS BASICAS","2436","CIENCIAS EXPERIMENTALES","4442","CREDITOS ASIGNADOS POR REVALIDA","21423","FL8"
"MATERIAS BASICAS","2436","CIENCIAS EXPERIMENTALES","4442","CREDITOS ASIGNADOS POR REVALIDA","21080","F2"
"MATERIAS BASICAS","2436","CIENCIAS EXPERIMENTALES","4442","CREDITOS ASIGNADOS POR REVALIDA","21403","F66"
"MATERIAS BASICAS","2436","CIENCIAS EXPERIMENTALES","4442","CREDITOS ASIGNADOS POR REVALIDA","40765","CE5"
"MATERIAS BASICAS","2436","CIENCIAS EXPERIMENTALES","4442","CREDITOS ASIGNADOS POR REVALIDA","44182","CE10"
"MATERIAS BASICAS","2436","CIENCIAS EXPERIMENTALES","4442","CREDITOS ASIGNADOS POR REVALIDA","21415","FA4"
"MATERIAS BASICAS","2436","CIENCIAS EXPERIMENTALES","4442","CREDITOS ASIGNADOS POR REVALIDA","37783","CE12"
"MATERIAS BASICAS","2436","CIENCIAS EXPERIMENTALES","4442","CREDITOS ASIGNADOS POR REVALIDA","21115","CEX28"
"MATERIAS BASICAS","2436","CIENCIAS EXPERIMENTALES","4442","CREDITOS ASIGNADOS POR REVALIDA","20509","CE11"
"MATERIAS BASICAS","2436","CIENCIAS EXPERIMENTALES","4442","CREDITOS ASIGNADOS POR REVALIDA","21394","CE2"
"MATERIAS BASICAS","2436","CIENCIAS EXPERIMENTALES","4442","CREDITOS ASIGNADOS POR REVALIDA","21417","FA8"
"MATERIAS BASICAS","2436","CIENCIAS EXPERIMENTALES","4442","CREDITOS ASIGNADOS POR REVALIDA","21566","FF10"
"MATERIAS BASICAS","2436","CIENCIAS EXPERIMENTALES","4442","CREDITOS ASIGNADOS POR REVALIDA","21078","FG"
"MATERIAS BASICAS","2436","CIENCIAS EXPERIMENTALES","4442","CREDITOS ASIGNADOS POR REVALIDA","21427","FG2"
"MATERIAS BASICAS","2436","CIENCIAS EXPERIMENTALES","4442","CREDITOS ASIGNADOS POR REVALIDA","18521","FIS14"
